Running with 50000 chromosomes for 1 generations
Chromosome stats:
  IN_H: 12
  IN_W: 12
  HLC: 2
  NPL: 128
Level seed: 1215069295
srand seed: 10
----------------------------
Running generation 1/1
Player 757 fitness: 276.1333
Player 758 fitness: 99.9667
Player 759 fitness: 99.9667
Player 760 fitness: 99.9667
Player 761 fitness: 96.1333
Player 762 fitness: 477.6000
Player 763 fitness: 95.5667
Player 764 fitness: 95.5667
Player 765 fitness: 111.0667
Player 766 fitness: 96.1333
Player 767 fitness: 96.1333
Player 768 fitness: 145.2000
Player 769 fitness: 95.3667
Player 770 fitness: 95.3667
Player 771 fitness: 95.5667
Player 772 fitness: 99.7667
Player 773 fitness: 99.9667
Player 774 fitness: 115.0667
Player 775 fitness: 99.9667
Player 776 fitness: 374.7667
Player 777 fitness: 95.3667
Player 778 fitness: 96.1333
Player 779 fitness: 99.9667
Player 780 fitness: 99.9667
Player 781 fitness: 99.9667
Player 782 fitness: 95.3667
Player 783 fitness: 95.5667
Player 784 fitness: 95.5667
Player 785 fitness: 96.1333
Player 786 fitness: 143.4000
Player 787 fitness: 945.3667
Player 788 fitness: 95.5667
Player 789 fitness: 99.9667
Player 790 fitness: 96.1333
Player 791 fitness: 99.7667
Player 792 fitness: 96.1333
Player 793 fitness: 96.1333
Player 794 fitness: 122.4667
Player 795 fitness: 95.5667
Player 796 fitness: 322.5332
Player 797 fitness: 115.0667
Player 798 fitness: 99.7667
Player 799 fitness: 452.8666
Player 800 fitness: 95.3667
Player 801 fitness: 95.5667
Player 802 fitness: 99.9667
Player 803 fitness: 95.3667
Player 804 fitness: 99.7667
Player 805 fitness: 245.4000
Player 806 fitness: 95.3667
Player 807 fitness: 99.9667
Player 808 fitness: 95.5667
Player 809 fitness: 95.5667
Player 810 fitness: 95.5667
Player 811 fitness: 95.5667
Player 812 fitness: 99.9667
Player 813 fitness: 486.4667
Player 814 fitness: 95.3667
Player 815 fitness: 95.5667
Player 816 fitness: 116.2000
Player 817 fitness: 95.5667
Player 818 fitness: 95.5667
Player 819 fitness: 95.5667
Player 820 fitness: 95.5667
Player 821 fitness: 95.5667
Player 822 fitness: 99.9667
Player 823 fitness: 99.9667
Player 824 fitness: 99.9667
Player 825 fitness: 95.5667
Player 826 fitness: 96.1333
Player 827 fitness: 265.7332
Player 828 fitness: 99.9667
Player 829 fitness: 235.6000
Player 830 fitness: 183.5333
Player 831 fitness: 99.7667
Player 832 fitness: 185.1333
Player 833 fitness: 309.2999
Player 834 fitness: 95.3667
Player 835 fitness: 96.1333
Player 836 fitness: 95.5667
Player 837 fitness: 99.9667
Player 838 fitness: 99.7667
Player 839 fitness: 100.6333
Player 840 fitness: 99.7667
Player 841 fitness: 99.7667
Player 842 fitness: 290.5000
Player 843 fitness: 99.7667
Player 844 fitness: 96.1333
Player 845 fitness: 143.4333
Player 846 fitness: 96.1333
Player 847 fitness: 99.9667
Player 848 fitness: 96.1333
Player 849 fitness: 95.3667
Player 850 fitness: 99.9667
Player 851 fitness: 95.5667
Player 852 fitness: 96.1333
Player 853 fitness: 96.1333
Player 854 fitness: 95.5667
Player 855 fitness: 99.7667
Player 856 fitness: 99.7667
Player 857 fitness: 96.1333
Player 858 fitness: 95.5667
Player 859 fitness: 115.0667
Player 860 fitness: 95.5667
Player 861 fitness: 99.9667
Player 862 fitness: 95.3667
Player 863 fitness: 269.3000
Player 864 fitness: 99.7667
Player 865 fitness: 668.5334
Player 866 fitness: 99.9667
Player 867 fitness: 95.5667
Player 868 fitness: 95.5667
Player 869 fitness: 96.1333
Player 870 fitness: 256.3000
Player 871 fitness: 99.7667
Player 872 fitness: 99.9667
Player 873 fitness: 156.1000
Player 874 fitness: 564.0334
Player 875 fitness: 99.7667
Player 876 fitness: 95.3667
Player 877 fitness: 99.7667
Player 878 fitness: 99.7667
Player 879 fitness: 364.2666
Player 880 fitness: 99.9667
Player 881 fitness: 95.5667
Player 882 fitness: 95.5667
Player 883 fitness: 96.1333
Player 884 fitness: 95.5667
Player 885 fitness: 107.8667
Player 886 fitness: 96.1333
Player 887 fitness: 212.6000
Player 888 fitness: 95.5667
Player 889 fitness: 265.7333
Player 890 fitness: 96.1333
Player 891 fitness: 99.9667
Player 892 fitness: 99.9667
Player 893 fitness: 99.7667
Player 894 fitness: 99.9667
Player 895 fitness: 98.5667
Player 896 fitness: 175.3333
Player 897 fitness: 96.1333
Player 898 fitness: 95.5667
Player 899 fitness: 155.0000
Player 900 fitness: 103.8667
